,player,team,age,position,Mins,Passing Accuracy,,league,season
0,Bukayo Saka,Arsenal,22,"D(L),M(CLR)",2937,83,,ENG-Premier League,2324
1,Rodri,Man City,28,"D(C),DMC",2937,92.5,,ENG-Premier League,2324
2,Michael Olise,Crystal Palace,22,AM(CLR),1277,83.1,,ENG-Premier League,2324
3,Kevin De Bruyne,Man City,32,"M(CLR),FW",1228,83.8,,ENG-Premier League,2324
4,Phil Foden,Man City,24,"AM(CLR),FW",2869,89.1,,ENG-Premier League,2324
5,Cole Palmer,Chelsea,22,"AM(CR),FW",2618,83.3,,ENG-Premier League,2324
6,Eberechi Eze,Crystal Palace,25,AM(CLR),2064,83.7,,ENG-Premier League,2324
7,Solly March,Brighton,29,M(CLR),559,81.4,,ENG-Premier League,2324
8,Erling Haaland,Man City,23,FW,2559,77.4,,ENG-Premier League,2324
9,Bruno Fernandes,Man Utd,29,"M(CLR),FW",3120,79.4,,ENG-Premier League,2324
10,Declan Rice,Arsenal,25,"D(C),DMC",3232,90.7,,ENG-Premier League,2324
11,Bruno Guimarães,Newcastle,26,DMC,3269,85,,ENG-Premier League,2324
12,Martin Ødegaard,Arsenal,25,AM(CR),3104,86.8,,ENG-Premier League,2324
13,Arijanet Muric,Burnley,25,GK,900,67.5,,ENG-Premier League,2324
14,Son Heung-Min,Tottenham,31,"M(CLR),FW",2948,85.1,,ENG-Premier League,2324
15,Anthony Gordon,Newcastle,23,"AM(CLR),FW",2906,81.8,,ENG-Premier League,2324
16,Ollie Watkins,Aston Villa,28,"AM(LR),FW",3227,76.8,,ENG-Premier League,2324
17,Jérémy Doku,Man City,22,M(LR),1596,86,,ENG-Premier League,2324
18,Mohamed Salah,Liverpool,32,"AM(CLR),FW",2536,75.7,,ENG-Premier League,2324
19,Mohammed Kudus,West Ham,23,"M(CLR),FW",2488,84.5,,ENG-Premier League,2324
20,Daniel Muñoz,Crystal Palace,28,"D(CR),DMC,M(R)",1440,79.2,,ENG-Premier League,2324
21,James Maddison,Tottenham,27,AM(CLR),2155,87.4,,ENG-Premier League,2324
22,Kai Havertz,Arsenal,25,"M(CR),FW",2641,81.1,,ENG-Premier League,2324
23,Bernardo Silva,Man City,29,"M(CLR),FW",2582,89.4,,ENG-Premier League,2324
24,Virgil van Dijk,Liverpool,32,D(C),3178,91.5,,ENG-Premier League,2324
25,Alexander Isak,Newcastle,24,"AM(L),FW",2267,80,,ENG-Premier League,2324
26,Conor Bradley,Liverpool,20,"D(R),M(R)",761,80.3,,ENG-Premier League,2324
27,Pascal Groß,Brighton,33,"D(LR),M(CR),FW",3114,90.2,,ENG-Premier League,2324
28,Conor Gallagher,Chelsea,24,M(CL),3137,91.5,,ENG-Premier League,2324
29,Matheus Cunha,Wolves,25,"AM(CL),FW",2454,81.6,,ENG-Premier League,2324
30,Andy Robertson,Liverpool,30,"D(L),M(L)",1693,87.7,,ENG-Premier League,2324
31,Trent Alexander-Arnold,Liverpool,25,"D(R),DMC,M(R)",2161,79.6,,ENG-Premier League,2324
32,Julián Álvarez,Man City,24,"AM(CR),FW",2660,87.9,,ENG-Premier League,2324
33,Jarrod Bowen,West Ham,27,"AM(CLR),FW",3021,75.1,,ENG-Premier League,2324
34,Diogo Jota,Liverpool,27,"AM(CLR),FW",1151,74.5,,ENG-Premier League,2324
35,Alexis Mac Allister,Liverpool,25,"M(CL),FW",2612,87.8,,ENG-Premier League,2324
36,Luis Díaz,Liverpool,27,AM(LR),2646,85.3,,ENG-Premier League,2324
37,James Tarkowski,Everton,31,D(C),3420,77.8,,ENG-Premier League,2324
38,Nicolas Jackson,Chelsea,23,FW,2810,78,,ENG-Premier League,2324
39,Kieran Trippier,Newcastle,33,"D(LR),M(R)",2240,79.7,,ENG-Premier League,2324
40,Thomas Strakosha,Brentford,29,GK,135,71.2,,ENG-Premier League,2324
41,Manor Solomon,Tottenham,24,AM(CL),198,90.6,,ENG-Premier League,2324
42,Ross Barkley,Luton,30,M(CLR),2622,84.5,,ENG-Premier League,2324
43,Lucas Paquetá,West Ham,26,"M(CLR),FW",2638,75.2,,ENG-Premier League,2324
44,Pedro Porro,Tottenham,24,"D(R),M(R)",3093,79.6,,ENG-Premier League,2324
45,João Palhinha,Fulham,28,DMC,2711,83,,ENG-Premier League,2324
46,Dominic Solanke,Bournemouth,26,FW,3333,73.7,,ENG-Premier League,2324
47,Josko Gvardiol,Man City,22,D(CL),2330,88.3,,ENG-Premier League,2324
48,Cristian Romero,Tottenham,26,D(C),2793,91.9,,ENG-Premier League,2324
